,country,q127,q098,q130,q106,q131,q005,q006,name
3271,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3272,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3273,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,Hong Kong
3274,2.0,2.0,,2.0,,3.0,3.0,,Hong Kong
3275,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,Hong Kong
3276,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,Hong Kong
3277,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Hong Kong
3278,2.0,2.0,,3.0,2.0,3.0,2.0,3.0,Hong Kong
3279,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,Hong Kong
3280,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,Hong Kong
3281,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,Hong Kong
3282,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,Hong Kong
3283,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,Hong Kong
3284,2.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,Hong Kong
3285,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,Hong Kong
3286,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,Hong Kong
3287,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,Hong Kong
3288,2.0,1.0,3.0,,3.0,2.0,3.0,2.0,Hong Kong
3289,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,Hong Kong
3290,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,Hong Kong
3291,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,Hong Kong
3292,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,Hong Kong
3293,2.0,1.0,,,2.0,3.0,2.0,,Hong Kong
3294,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,Hong Kong
3295,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,Hong Kong
3296,2.0,,3.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3297,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,Hong Kong
3298,2.0,2.0,,,,3.0,4.0,3.0,Hong Kong
3299,2.0,,3.0,2.0,4.0,3.0,2.0,,Hong Kong
3300,2.0,1.0,2.0,2.0,3.0,3.0,3.0,,Hong Kong
3301,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,Hong Kong
3302,2.0,2.0,3.0,3.0,2.0,3.0,1.0,5.0,Hong Kong
3303,2.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,Hong Kong
3304,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,Hong Kong
3305,2.0,2.0,3.0,,3.0,3.0,,3.0,Hong Kong
3306,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,Hong Kong
3307,2.0,2.0,,2.0,,3.0,2.0,4.0,Hong Kong
3308,2.0,2.0,,2.0,,2.0,1.0,,Hong Kong
3309,2.0,2.0,4.0,2.0,2.0,2.0,3.0,,Hong Kong
3310,2.0,2.0,,3.0,2.0,3.0,1.0,3.0,Hong Kong
3311,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,Hong Kong
3312,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,Hong Kong
3313,2.0,2.0,3.0,3.0,,3.0,2.0,1.0,Hong Kong
3314,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,Hong Kong
3315,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,Hong Kong
3316,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Hong Kong
3317,2.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,Hong Kong
3318,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,Hong Kong
3319,2.0,2.0,3.0,3.0,2.0,3.0,3.0,,Hong Kong
3320,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,Hong Kong
3321,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3322,2.0,3.0,1.0,4.0,1.0,4.0,3.0,5.0,Hong Kong
3323,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,Hong Kong
3324,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,Hong Kong
3325,2.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,Hong Kong
3326,2.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,Hong Kong
3327,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,Hong Kong
3328,2.0,2.0,2.0,,1.0,3.0,1.0,3.0,Hong Kong
3329,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3330,2.0,,3.0,2.0,2.0,,5.0,3.0,Hong Kong
3331,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3332,2.0,3.0,1.0,,3.0,3.0,3.0,3.0,Hong Kong
3333,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,Hong Kong
3334,2.0,2.0,3.0,3.0,,3.0,2.0,,Hong Kong
3335,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,Hong Kong
3336,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3337,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,Hong Kong
3338,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,Hong Kong
3339,2.0,,,,,3.0,2.0,,Hong Kong
3340,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3341,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,Hong Kong
3342,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,Hong Kong
3343,2.0,2.0,,3.0,4.0,3.0,2.0,3.0,Hong Kong
3344,2.0,,,,,,2.0,3.0,Hong Kong
3345,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,Hong Kong
3346,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,Hong Kong
3347,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,Hong Kong
3348,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,Hong Kong
3349,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,Hong Kong
3350,2.0,1.0,,,2.0,3.0,2.0,,Hong Kong
3351,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,Hong Kong
3352,2.0,1.0,,3.0,2.0,3.0,2.0,2.0,Hong Kong
3353,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3354,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,Hong Kong
3355,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3356,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3357,2.0,3.0,,2.0,4.0,3.0,2.0,3.0,Hong Kong
3358,2.0,,,,,,3.0,,Hong Kong
3359,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,Hong Kong
3360,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,Hong Kong
3361,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,Hong Kong
3362,2.0,1.0,2.0,3.0,2.0,3.0,1.0,,Hong Kong
3363,2.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,Hong Kong
3364,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,Hong Kong
3365,2.0,2.0,,2.0,,3.0,2.0,,Hong Kong
3366,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,Hong Kong
3367,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,Hong Kong
3368,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,Hong Kong
3369,2.0,,,,,,1.0,1.0,Hong Kong
3370,2.0,,3.0,2.0,4.0,3.0,2.0,3.0,Hong Kong
3371,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,Hong Kong
3372,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,Hong Kong
3373,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,Hong Kong
3374,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,Hong Kong
3375,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,Hong Kong
3376,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,Hong Kong
3377,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,Hong Kong
3378,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3379,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,Hong Kong
3380,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,Hong Kong
3381,2.0,2.0,,2.0,3.0,3.0,3.0,3.0,Hong Kong
3382,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,Hong Kong
3383,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3384,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,Hong Kong
3385,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,Hong Kong
3386,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,Hong Kong
3387,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,Hong Kong
3388,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,Hong Kong
3389,2.0,2.0,,2.0,2.0,2.0,3.0,4.0,Hong Kong
3390,2.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,Hong Kong
3391,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,Hong Kong
3392,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,Hong Kong
3393,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Hong Kong
3394,2.0,2.0,,,,,2.0,3.0,Hong Kong
3395,2.0,1.0,3.0,2.0,4.0,2.0,2.0,,Hong Kong
3396,2.0,2.0,,,,,3.0,4.0,Hong Kong
3397,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,Hong Kong
3398,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Hong Kong
3399,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,Hong Kong
3400,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,Hong Kong
3401,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,Hong Kong
3402,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,Hong Kong
3403,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3404,2.0,,2.0,3.0,1.0,4.0,3.0,,Hong Kong
3405,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,Hong Kong
3406,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,Hong Kong
3407,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,Hong Kong
3408,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,Hong Kong
3409,2.0,2.0,3.0,2.0,3.0,3.0,2.0,,Hong Kong
3410,2.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,Hong Kong
3411,2.0,2.0,,2.0,2.0,,3.0,,Hong Kong
3412,2.0,2.0,3.0,2.0,,3.0,2.0,3.0,Hong Kong
3413,2.0,2.0,3.0,3.0,,,1.0,2.0,Hong Kong
3414,2.0,1.0,,,,,2.0,2.0,Hong Kong
3415,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,Hong Kong
3416,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,Hong Kong
3417,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3418,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,Hong Kong
3419,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,Hong Kong
3420,2.0,2.0,,2.0,2.0,3.0,3.0,4.0,Hong Kong
3421,2.0,2.0,2.0,,2.0,3.0,3.0,2.0,Hong Kong
3422,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3423,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,Hong Kong
3424,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,Hong Kong
3425,2.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,Hong Kong
3426,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3427,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,Hong Kong
3428,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,Hong Kong
3429,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,Hong Kong
3430,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,Hong Kong
3431,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,Hong Kong
3432,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,Hong Kong
3433,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3434,2.0,2.0,2.0,,,3.0,1.0,3.0,Hong Kong
3435,2.0,2.0,,,,,3.0,3.0,Hong Kong
3436,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3437,2.0,2.0,3.0,,2.0,,3.0,2.0,Hong Kong
3438,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,Hong Kong
3439,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,Hong Kong
3440,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3441,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Hong Kong
3442,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,Hong Kong
3443,2.0,2.0,3.0,2.0,,3.0,2.0,,Hong Kong
3444,2.0,2.0,2.0,,2.0,3.0,3.0,2.0,Hong Kong
3445,2.0,2.0,2.0,2.0,,,3.0,4.0,Hong Kong
3446,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3447,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,Hong Kong
3448,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,Hong Kong
3449,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,Hong Kong
3450,2.0,2.0,,,3.0,2.0,2.0,2.0,Hong Kong
3451,2.0,1.0,,4.0,2.0,1.0,2.0,4.0,Hong Kong
3452,2.0,2.0,,2.0,2.0,3.0,3.0,5.0,Hong Kong
3453,2.0,2.0,,2.0,2.0,3.0,4.0,3.0,Hong Kong
3454,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,Hong Kong
3455,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,Hong Kong
3456,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,Hong Kong
3457,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Hong Kong
3458,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Hong Kong
3459,2.0,2.0,,2.0,,3.0,2.0,,Hong Kong
3460,2.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,Hong Kong
3461,2.0,2.0,,2.0,2.0,3.0,4.0,,Hong Kong
3462,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,Hong Kong
3463,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,Hong Kong
3464,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,Hong Kong
3465,2.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,Hong Kong
3466,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,Hong Kong
3467,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,Hong Kong
3468,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,Hong Kong
3469,2.0,2.0,3.0,2.0,4.0,,3.0,3.0,Hong Kong
3470,2.0,1.0,3.0,,3.0,3.0,2.0,,Hong Kong
3471,2.0,1.0,3.0,2.0,2.0,2.0,3.0,,Hong Kong
3472,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,Hong Kong
3473,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,Hong Kong
3474,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Hong Kong
3475,2.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,Hong Kong
3476,2.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,Hong Kong
3477,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,Hong Kong
3478,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,Hong Kong
3479,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,Hong Kong
3480,2.0,2.0,2.0,2.0,,3.0,1.0,3.0,Hong Kong
3481,2.0,3.0,,2.0,2.0,2.0,2.0,3.0,Hong Kong
3482,2.0,3.0,,2.0,,,3.0,3.0,Hong Kong
3483,2.0,2.0,,2.0,,3.0,2.0,,Hong Kong
3484,2.0,2.0,,3.0,2.0,3.0,2.0,4.0,Hong Kong
3485,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,Hong Kong
3486,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,Hong Kong
3487,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,Hong Kong
3488,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,Hong Kong
3489,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,Hong Kong
3490,2.0,1.0,,,,3.0,2.0,,Hong Kong
3491,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Hong Kong
3492,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,Hong Kong
3493,2.0,2.0,3.0,2.0,2.0,,2.0,3.0,Hong Kong
3494,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,Hong Kong
3495,2.0,2.0,2.0,4.0,2.0,3.0,,4.0,Hong Kong
3496,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,Hong Kong
3497,2.0,,,,,,3.0,,Hong Kong
3498,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,Hong Kong
3499,2.0,1.0,,,,2.0,3.0,3.0,Hong Kong
3500,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,Hong Kong
3501,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,Hong Kong
3502,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,Hong Kong
3503,2.0,2.0,,2.0,3.0,3.0,1.0,4.0,Hong Kong
3504,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,Hong Kong
3505,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,Hong Kong
3506,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,Hong Kong
3507,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,Hong Kong
3508,2.0,,,,,3.0,3.0,3.0,Hong Kong
3509,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,Hong Kong
3510,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Hong Kong
3511,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Hong Kong
3512,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Hong Kong
3513,2.0,2.0,,2.0,,2.0,3.0,2.0,Hong Kong
3514,2.0,2.0,2.0,2.0,4.0,3.0,2.0,,Hong Kong
3515,2.0,,3.0,,4.0,3.0,4.0,4.0,Hong Kong
3516,2.0,2.0,3.0,3.0,3.0,,3.0,4.0,Hong Kong
3517,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,Hong Kong
3518,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,Hong Kong
3519,2.0,2.0,3.0,,,3.0,2.0,3.0,Hong Kong
3520,2.0,2.0,,2.0,,3.0,1.0,4.0,Hong Kong
3521,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Hong Kong
3522,2.0,3.0,,3.0,3.0,3.0,2.0,2.0,Hong Kong
3523,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,Hong Kong
3524,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,Hong Kong
3525,2.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,Hong Kong
3526,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,Hong Kong
3527,2.0,,,,,,2.0,,Hong Kong
3528,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,Hong Kong
3529,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,Hong Kong
3530,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,Hong Kong
